Classes,,
ActivePower,Power,0.825
Voltage,Power,0.827
ReactivePower,Power,0.804
Temperature,Temperature,1
Point,Point,1
Unit,StoringUnit,0.824
Unit,GeneratingUnit,0.868
Unit,Compound_unit,0.88
Unit,Singular_unit,0.801
Unit,Unit_division,0.805
Area,Area,1
AssetContainer,EquipmentContainer,0.826
ConfigurationEvent,Event,0.826
Location,Location,1
Ownership,Property,0.807
PowerSystemResource,PowerSystemResource,1
LandProperty,Property,0.858
AtmosphericPhenomenon,WeatherPhenomenon,0.807
Speed,WindSpeed,0.804
AttributeProperty,Property,0.846
AuxiliaryCost,EnergyCost,0.8
AuxiliaryEquipment,Equipment,0.805
BasePower,Power,0.802
ConductingEquipment,Equipment,0.822
WorkTimeSchedule,Schedule,0.826
BasicIntervalSchedule,Schedule,0.811
BatteryUnit,Battery,0.894
BatteryUnit,StoringUnit,0.803
BatteryUnit,GeneratingUnit,0.808
Substation,Substation,1
EnergyMarket,EnergyDemand,0.836
EnergyMarket,EnergyConsumer,0.823
CostPerEnergyUnit,EnergyCost,0.814
ThermalGeneratingUnit,GeneratingUnit,0.897
ThermalGeneratingUnit,RenewableGeneratingUnit,0.884
ThermalGeneratingUnit,WindGeneratingUnit,0.886
CostRate,EnergyCost,0.841
PropertyUnit,Property,0.804
PropertyUnit,Compound_unit,0.805
TypeMaterial,EnergyType,0.821
TypeMaterial,BuildingType,0.839
TypeMaterial,EquipmentType,0.821
MeasurementValue,ObservationValue,0.84
ConsumptionTariffInterval,EnergyTariff,0.823
ConsumptionTariffInterval,EnergyCostTariff,0.811
ChargeType,EnergyType,0.817
CommitmentType,EnergyType,0.804
CostType,EnergyType,0.827
DesignLocation,Location,0.854
ProtectionEquipment,Equipment,0.846
ProtectionEquipment,BuildingEquipment,0.801
UsagePoint,Point,0.827
Equipment,PowerEquipment,0.842
Equipment,Equipment,1
Equipment,BuildingEquipment,0.901
Equipment,EquipmentType,0.852
ControlArea,Area,0.823
EnergyArea,Area,0.898
ControlAreaGeneratingUnit,GeneratingUnit,0.836
ControlAreaGeneratingUnit,WindGeneratingUnit,0.813
GeneratingUnit,StoringUnit,0.829
GeneratingUnit,GeneratingUnit,1
GeneratingUnit,RenewableGeneratingUnit,0.895
GeneratingUnit,WindGeneratingUnit,0.873
CustomerConsumer,EnergyConsumer,0.817
Incident,Event,0.83
Pressure,Temperature,0.811
DispatchSchedule,Schedule,0.823
DuctBank,Duct,0.887
DynamicSchedule,Schedule,0.852
EnergyConsumer,EnergyDemand,0.801
EnergyConsumer,EnergyConsumerFacility,0.87
EnergyConsumer,EnergyConsumer,1
EnergyConsumerAction,EnergyConsumer,0.889
EnergyConsumerPhase,EnergyConsumer,0.863
EnergyTypeReference,EnergyType,0.807
EnergyProduct,EnergyProduction,0.811
EnergyProduct,EnergyConsumer,0.806
EnergySchedulingType,EnergyType,0.818
EnergySource,EnergySupply,0.836
EnergyTypeKind,EnergyType,0.841
EnvironmentalEvent,Event,0.86
EnvironmentalPhenomenon,WeatherPhenomenon,0.834
EquipmentContainer,EquipmentContainer,1
WeatherStation,Weather,0.82
WeatherStation,WeatherCondition,0.8
EquivalentEquipment,Equipment,0.842
EquipmentStatusType,EquipmentType,0.899
FailureEvent,Event,0.809
FlowDirection,WindDirection,0.842
GeneratingUnitDynamicValues,GeneratingUnit,0.806
TransmissionCapacity,Capacity,0.806
Forecast,EnergyForecast,0.899
Forecast,WeatherForecast,0.86
Forecast,EnergyDemandForecast,0.807
Forecast,EnergyProductionForecast,0.803
FuelType,EnergyType,0.853
HydroGeneratingUnit,GeneratingUnit,0.887
HydroGeneratingUnit,RenewableGeneratingUnit,0.899
HydroGeneratingUnit,WindGeneratingUnit,0.895
HydroPump,Pump,0.841
InflowForecast,WeatherForecast,0.81
InterchangeSchedule,Schedule,0.835
EnergyProductType,EnergyType,0.842
IntervalBlock,Interval,0.819
IntervalReading,Interval,0.807
IrregularIntervalSchedule,Schedule,0.841
PositionPoint,Point,0.851
MeasurementValueSource,ObservationValue,0.807
Volume,Volume,1
NameType,EnergyType,0.817
NameType,BuildingType,0.805
NameType,EntityType,0.821
OverheadCost,EnergyCost,0.81
ControlledAppliance,Appliance,0.902
PowerElectronicsUnit,PowerDeliveryUnit,0.836
Tariff,EnergyTariff,0.915
Tariff,FeedInTariff,0.84
Tariff,EnergyCostTariff,0.823
TimeInterval,Interval,0.889
RegisteredDistributedResource,DistributedEnergyResource,0.801
ResourceCapacity,PowerSystemResource,0.802
ResourceCapacity,Capacity,0.857
RegularIntervalSchedule,Schedule,0.847
RegulationSchedule,Schedule,0.878
RemotePoint,Point,0.817
ResourceCapacityType,EnergyType,0.818
SteamSupply,EnergySupply,0.802
SwitchSchedule,Schedule,0.846
TapSchedule,Schedule,0.811
TimePoint,Point,0.855
TimeSchedule,Schedule,0.917
Tower,Building,0.829
Vehicle,ElectricVehicle,0.871
WindGeneratingUnit,GeneratingUnit,0.873
WindGeneratingUnit,RenewableGeneratingUnit,0.926
WindGeneratingUnit,WindGeneratingUnit,1
WindGeneratingUnit,WindPowerSystem,0.813
Zone,Zone,1
DateInterval,Interval,0.861
Facility,EnergyFacility,0.903
InternalLocation,Location,0.833
MaintenanceLocation,Location,0.837
SetPoint,Point,0.809
Property,Property,1
Storage,EnergyStorage,0.918
Storage,StoringUnit,0.801
Storage,EnergySupplyFromStorage,0.808
BuildingRelated,Building,0.816
Power,PowerEquipment,0.808
Power,Capacity,0.811
Power,Power,1
Compound,Compound_unit,0.8
DifferentialModel,Mathematical_model,0.819
EnergyTypeCode,EnergyType,0.847
NuclearGeneratingUnit,GeneratingUnit,0.897
NuclearGeneratingUnit,RenewableGeneratingUnit,0.877
NuclearGeneratingUnit,WindGeneratingUnit,0.857
Observation,ObservationValue,0.86
Observation,Observation,1
PowerElectronicsWindUnit,WindGeneratingUnit,0.877
PowerElectronicsWindUnit,WindPowerSystem,0.844
SolarGeneratingUnit,GeneratingUnit,0.902
SolarGeneratingUnit,RenewableGeneratingUnit,0.914
SolarGeneratingUnit,WindGeneratingUnit,0.918
StateVariable,Variable,0.829
SystemType,EnergyType,0.817
ZoneType,Zone,0.889
TemporalEntity,TemporalEntity,1
Electricity,EnergyDemand,0.819
Electricity,Power,0.892
EnergyUnit,StoringUnit,0.822
EnergyUnit,GeneratingUnit,0.861
EnergyUnit,Compound_unit,0.823
EventFunction,Event,0.861
Humidity,IndoorHumidity,0.823
Humidity,Humidity,1
LightingDevice,LightingSystem,0.852
Occupancy,OccupantBehavior,0.879
Occupancy,Occupant,0.928
Occupancy,OccupancyParameter,0.913
Occupancy,OccupantNumber,0.892
PowerUnit,PowerDeliveryUnit,0.859
PowerUnit,GeneratingUnit,0.862
PowerUnit,RenewableGeneratingUnit,0.831
PowerUnit,WindGeneratingUnit,0.842
PowerUnit,Power,0.835
Pressure,Temperature,0.811
Temperature,Temperature,1
Object Properties,,
energyUnit,hasUnit,0.819
energyUnit,isUnitOf,0.807
Unit,hasUnit,0.875
Unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
Location,hasLocation,0.846
Location,isLocationOf,0.805
direction,isDirectionOf,0.813
direction,hasDirection,0.836
speed,isSpeedOf,0.828
speed,hasSpeed,0.87
unit,hasUnit,0.875
unit,isUnitOf,0.843
BillDeterminants,hasDeterminant,0.827
BillDeterminants,isDeterminantOf,0.812
BillDeterminant,hasDeterminant,0.85
BillDeterminant,isDeterminantOf,0.839
BillDeterminant,hasDeterminant,0.85
BillDeterminant,isDeterminantOf,0.839
BillDeterminant,hasDeterminant,0.85
BillDeterminant,isDeterminantOf,0.839
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
PropertiesObject,topObjectProperty,0.802
unit,hasUnit,0.875
unit,isUnitOf,0.843
direction,isDirectionOf,0.813
direction,hasDirection,0.836
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
ConfigurationEvent,event,0.826
ConfigurationEvent,event,0.826
Equipment,hasEquipmentType,0.802
EnergyArea,hasArea,0.815
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
Location,hasLocation,0.846
Location,isLocationOf,0.805
unit,hasUnit,0.875
unit,isUnitOf,0.843
Incident,event,0.83
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
IdentifiedObject,hasAssociatedObject,0.806
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
ProvidedBy,isProvidedBy,0.93
ProvidedBy,providesTo,0.844
ProvidedBy,isSuppliedBy,0.83
EnvironmentalEvent,eventOf,0.827
EnvironmentalEvent,event,0.86
Location,hasLocation,0.846
Location,isLocationOf,0.805
Location,hasLocation,0.846
Location,isLocationOf,0.805
Equipment,hasEquipmentType,0.802
Equipments,isEquipmentTypeOf,0.805
Equipment,hasEquipmentType,0.802
Equipment,hasEquipmentType,0.802
Equipment,hasEquipmentType,0.802
Equipments,isEquipmentTypeOf,0.805
Equipments,isEquipmentTypeOf,0.805
Equipment,hasEquipmentType,0.802
Equipment,hasEquipmentType,0.802
Equipments,isEquipmentTypeOf,0.805
Equipment,hasEquipmentType,0.802
Location,hasLocation,0.846
Location,isLocationOf,0.805
unit,hasUnit,0.875
unit,isUnitOf,0.843
direction,isDirectionOf,0.813
direction,hasDirection,0.836
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
IdentifiedObject,hasAssociatedObject,0.806
unit,hasUnit,0.875
unit,isUnitOf,0.843
Incident,event,0.83
Location,hasLocation,0.846
Location,isLocationOf,0.805
Incident,event,0.83
Incident,event,0.83
Incident,event,0.83
Incident,event,0.83
Incident,event,0.83
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
energyType,deliversEnergyType,0.842
energyType,energyTypeDeliveredBy,0.845
energyType,energyTypeStoredBy,0.841
energyType,storesEnergyType,0.871
energyType,consumesEnergyType,0.827
energyType,energyTypeConsumedBy,0.868
energyType,energyTypeProducedBy,0.863
energyType,producesEnergyType,0.872
IntervalSchedule,hasSchedule,0.811
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
Location,hasLocation,0.846
Location,isLocationOf,0.805
Location,hasLocation,0.846
Location,isLocationOf,0.805
Location,hasLocation,0.846
Location,isLocationOf,0.805
Location,hasLocation,0.846
Location,isLocationOf,0.805
Location,hasLocation,0.846
Location,isLocationOf,0.805
outcome,event,0.805
MSSAggregation,hasDisaggregation,0.828
MSSAggregation,isDisaggregationOf,0.825
MSSAggregation,hasDisaggregation,0.828
MSSAggregation,isDisaggregationOf,0.825
unit,hasUnit,0.875
unit,isUnitOf,0.843
eventStatus,eventOf,0.822
eventStatus,event,0.877
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
direction,isDirectionOf,0.813
direction,hasDirection,0.836
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
direction,isDirectionOf,0.813
direction,hasDirection,0.836
energyProductType,deliversEnergyType,0.805
energyProductType,producesEnergyType,0.82
IntervalSchedule,hasSchedule,0.811
timeStep,hasEvaluationTimeStep,0.868
timeStep,isEvaluationTimeStepOf,0.828
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
direction,isDirectionOf,0.813
direction,hasDirection,0.836
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
TimeSchedule,hasSchedule,0.827
Unit,hasUnit,0.875
Unit,isUnitOf,0.843
ContainedIn,contains,0.824
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
unit,hasUnit,0.875
unit,isUnitOf,0.843
actsUpon,actsTo,0.825
consistsOf,contains,0.812
hasState,hasBehavior,0.803
hasTime,hasSchedule,0.813
isMeasuredIn,isIn,0.849
isOfferedBy,isProvidedBy,0.864
Data Properties,,
time,duration,0.829
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
duration,duration,1
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
name,title,0.808
time,duration,0.829
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
title,title,1
value,hasValue,0.81
durationIndefinite,duration,0.803
name,title,0.808
durationIndefinite,duration,0.803
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
address,address,1
apTitle,title,0.801
name,title,0.808
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
answer,address,0.822
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
propertyData,topDataProperty,0.851
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
value,hasValue,0.81
name,title,0.808
